testv3.txt opened
> offset: 10027, typeID: 3, length: 21
> offset: 10051, typeID: 5, length: 20
> offset: 10088, typeID: 4, length: 17
> offset: 10108, typeID: 1, length: 57
> offset: 10114, typeID: 7, length: 97
> offset: 10214, typeID: 3, length: 21
> offset: 10238, typeID: 5, length: 20
> offset: 10261, typeID: 17, length: 35
> offset: 10299, typeID: 4, length: 17
> offset: 10319, typeID: 1, length: 57
> offset: 10379, typeID: 3, length: 21
> offset: 10403, typeID: 5, length: 20
> offset: 10426, typeID: 1, length: 57
> offset: 10486, typeID: 3, length: 21
> offset: 10510, typeID: 5, length: 20
> offset: 10511, typeID: 20, length: 137
> offset: 10533, typeID: 17, length: 35
> offset: 10545, typeID: 255, length: 43
> offset: 10571, typeID: 4, length: 17
> offset: 10591, typeID: 1, length: 57
> offset: 10651, typeID: 3, length: 21
> offset: 10675, typeID: 5, length: 20
> offset: 10698, typeID: 4, length: 17
> offset: 10718, typeID: 1, length: 57
> offset: 10778, typeID: 3, length: 21
> offset: 10802, typeID: 15, length: 74
> offset: 10910, typeID: 5, length: 20
> offset: 10933, typeID: 17, length: 35
> offset: 10971, typeID: 4, length: 17
> offset: 10991, typeID: 1, length: 57
> offset: 11051, typeID: 3, length: 21
> offset: 11075, typeID: 5, length: 20
> offset: 11098, typeID: 17, length: 35
> offset: 11136, typeID: 4, length: 17
> offset: 11137, typeID: 17, length: 158
> offset: 11156, typeID: 1, length: 57
> offset: 11216, typeID: 3, length: 21
> offset: 11240, typeID: 8, length: 32
> offset: 11275, typeID: 5, length: 20
> offset: 11298, typeID: 4, length: 17
> offset: 11318, typeID: 1, length: 57
> offset: 11378, typeID: 3, length: 21
> offset: 11402, typeID: 5, length: 20
> offset: 11425, typeID: 17, length: 35
> offset: 11463, typeID: 4, length: 17
> offset: 11483, typeID: 1, length: 57
> offset: 11543, typeID: 5, length: 20
> offset: 11566, typeID: 4, length: 17
> offset: 11586, typeID: 1, length: 57
> offset: 11634, typeID: 2, length: 209
> offset: 11646, typeID: 3, length: 21
> offset: 11648, typeID: 19, length: 80
> offset: 11659, typeID: 18, length: 31
> offset: 11670, typeID: 5, length: 20
> offset: 11693, typeID: 17, length: 15
> offset: 11711, typeID: 4, length: 17
> offset: 11731, typeID: 1, length: 57
> offset: 11791, typeID: 3, length: 21
> offset: 11875, typeID: 5, length: 20
> offset: 11898, typeID: 17, length: 22
> offset: 11923, typeID: 1, length: 57
> offset: 11983, typeID: 3, length: 21
> offset: 12007, typeID: 5, length: 20
> offset: 12030, typeID: 17, length: 35
> offset: 12068, typeID: 4, length: 17
> offset: 12088, typeID: 1, length: 57
> offset: 12148, typeID: 3, length: 21
> offset: 12153, typeID: 254, length: 166
> offset: 12172, typeID: 5, length: 20
> offset: 12195, typeID: 4, length: 17
> offset: 12215, typeID: 1, length: 57
> offset: 12275, typeID: 3, length: 21
> offset: 12299, typeID: 5, length: 20
> offset: 12322, typeID: 17, length: 35
> offset: 12360, typeID: 1, length: 57
> offset: 12420, typeID: 3, length: 21
> offset: 12443, typeID: 255, length: 14
> offset: 12444, typeID: 14, length: 22
> offset: 12466, typeID: 255, length: 201
> offset: 12500, typeID: 5, length: 20
> offset: 12523, typeID: 4, length: 17
> offset: 12543, typeID: 1, length: 57
> offset: 12579, typeID: 2, length: 245
> offset: 12603, typeID: 3, length: 21
> offset: 12627, typeID: 4, length: 17
> offset: 12628, typeID: 17, length: 16
> offset: 12647, typeID: 5, length: 20
> offset: 12670, typeID: 17, length: 35
> offset: 12708, typeID: 1, length: 57
> offset: 12768, typeID: 3, length: 21
> offset: 12792, typeID: 8, length: 32
> offset: 12827, typeID: 2, length: 75
> offset: 12905, typeID: 4, length: 17
> offset: 12925, typeID: 1, length: 57
> offset: 12985, typeID: 3, length: 21
> offset: 13009, typeID: 5, length: 20
